location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,12,1,5
Albemarle HS,38.07657,-78.50397,o3,0.016,ppm,2020,12,1,6
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,12,1,7
Albemarle HS,38.07657,-78.50397,o3,0.013,ppm,2020,12,1,8
Albemarle HS,38.07657,-78.50397,o3,0.013,ppm,2020,12,1,9
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,12,1,10
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,12,1,11
Albemarle HS,38.07657,-78.50397,o3,0.015,ppm,2020,12,1,12
Albemarle HS,38.07657,-78.50397,o3,0.016,ppm,2020,12,1,13
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,12,1,14
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,12,1,18
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,12,1,19
Albemarle HS,38.07657,-78.50397,o3,0.009,ppm,2020,12,1,20
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,12,1,21
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,12,1,22
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,1,23
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,0
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,1
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,2
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,3
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,4
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,5
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,13
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,14
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,15
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,16
Albemarle HS,38.07657,-78.50397,o3,0.0,ppm,2020,12,2,18
Albemarle HS,38.07657,-78.50397,o3,0.0,ppm,2020,12,2,19
Albemarle HS,38.07657,-78.50397,o3,0.0,ppm,2020,12,2,20
Albemarle HS,38.07657,-78.50397,o3,0.0,ppm,2020,12,2,21
Albemarle HS,38.07657,-78.50397,o3,0.0,ppm,2020,12,2,22
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,2,23
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,12,3,0
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,12,4,1
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,12,4,2
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,12,4,3
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,12,4,4
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,12,4,5
Albemarle HS,38.07657,-78.50397,o3,0.023,ppm,2020,12,4,6
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,12,4,7
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,12,4,9
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,12,4,10
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,12,4,11
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,12,4,12
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,12,4,13
Albemarle HS,38.07657,-78.50397,o3,0.021,ppm,2020,12,4,14
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,12,4,15
