location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,8,3,18
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,8,3,19
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,8,3,20
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,8,3,21
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,8,3,22
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,8,3,23
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,8,4,0
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,8,4,1
Albemarle HS,38.07657,-78.50397,o3,0.015,ppm,2020,8,4,2
Albemarle HS,38.07657,-78.50397,o3,0.014,ppm,2020,8,4,3
Albemarle HS,38.07657,-78.50397,o3,0.012,ppm,2020,8,4,4
Albemarle HS,38.07657,-78.50397,o3,0.013,ppm,2020,8,4,5
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,8,4,19
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,8,6,1
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,8,6,2
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,8,6,3
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,8,6,5
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,8,6,6
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,8,6,7
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,8,6,8
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,8,6,9
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,8,6,10
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,8,6,11
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,8,6,13
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,8,6,14
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,8,6,15
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,6,16
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,8,6,18
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,8,6,19
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,8,6,20
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,8,7,15
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,8,7,16
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,8,7,17
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,8,7,18
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,8,7,19
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,8,7,20
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,8,7,21
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,8,7,22
Albemarle HS,38.07657,-78.50397,o3,0.013,ppm,2020,8,8,0
Albemarle HS,38.07657,-78.50397,o3,0.009,ppm,2020,8,8,1
Albemarle HS,38.07657,-78.50397,o3,0.011,ppm,2020,8,8,2
Albemarle HS,38.07657,-78.50397,o3,0.01,ppm,2020,8,8,3
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,8,8,4
Albemarle HS,38.07657,-78.50397,o3,0.004,ppm,2020,8,8,5
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,8,8,6
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,8,8,7
Albemarle HS,38.07657,-78.50397,o3,0.006,ppm,2020,8,8,8
Albemarle HS,38.07657,-78.50397,o3,0.004,ppm,2020,8,8,9
Albemarle HS,38.07657,-78.50397,o3,0.009,ppm,2020,8,8,10
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,8,8,11
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,8,8,12
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,8,8,13
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,8,8,14
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,8,8,15
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,8,8,16
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,8,18
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,8,8,19
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,8,8,20
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,8,8,21
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,8,8,22
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,8,8,23
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,8,9,0
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,8,9,1
Albemarle HS,38.07657,-78.50397,o3,0.011,ppm,2020,8,9,2
Albemarle HS,38.07657,-78.50397,o3,0.01,ppm,2020,8,9,3
Albemarle HS,38.07657,-78.50397,o3,0.008,ppm,2020,8,9,4
Albemarle HS,38.07657,-78.50397,o3,0.009,ppm,2020,8,9,5
Albemarle HS,38.07657,-78.50397,o3,0.006,ppm,2020,8,9,6
Albemarle HS,38.07657,-78.50397,o3,0.006,ppm,2020,8,9,7
Albemarle HS,38.07657,-78.50397,o3,0.003,ppm,2020,8,9,8
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,8,9,9
Albemarle HS,38.07657,-78.50397,o3,0.004,ppm,2020,8,9,11
Albemarle HS,38.07657,-78.50397,o3,0.009,ppm,2020,8,9,12
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,8,9,13
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,8,9,14
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,8,9,15
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,9,17
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,9,19
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,8,9,20
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,9,21
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,8,9,22
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,8,9,23
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,8,10,0
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,8,10,1
Albemarle HS,38.07657,-78.50397,o3,0.008,ppm,2020,8,10,4
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,8,10,6
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,8,10,7
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,8,10,8
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,8,10,10
Albemarle HS,38.07657,-78.50397,o3,0.001,ppm,2020,8,10,11
Albemarle HS,38.07657,-78.50397,o3,0.006,ppm,2020,8,10,12
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,8,10,13
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,8,10,14
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,10,15
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,8,10,16
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,8,10,18
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,8,10,19
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,10,21
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,8,10,22
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,8,10,23
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,8,11,0
Albemarle HS,38.07657,-78.50397,o3,0.017,ppm,2020,8,11,2
Albemarle HS,38.07657,-78.50397,o3,0.006,ppm,2020,8,11,4
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,8,11,5
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,8,11,6
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,8,11,8
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,8,11,9
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,8,11,11
Albemarle HS,38.07657,-78.50397,o3,0.006,ppm,2020,8,11,12
Albemarle HS,38.07657,-78.50397,o3,0.018,ppm,2020,8,11,13
Albemarle HS,38.07657,-78.50397,o3,0.023,ppm,2020,8,11,14
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,8,11,15
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,8,11,16
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,8,11,17
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,8,11,19
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,8,11,20
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,8,11,21
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,8,11,22
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,8,11,23
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,8,12,0
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,8,12,1
Albemarle HS,38.07657,-78.50397,o3,0.022,ppm,2020,8,12,2
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,8,12,14
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,8,12,16
