location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,6,1,5
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,6,1,6
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,6,1,7
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,6,1,8
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,6,1,9
Albemarle HS,38.07657,-78.50397,o3,0.021,ppm,2020,6,1,10
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,6,1,11
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,6,1,12
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,6,1,13
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,6,1,14
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,6,1,16
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,6,1,17
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,6,1,18
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,6,1,19
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,6,1,21
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,6,2,0
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,6,2,1
Albemarle HS,38.07657,-78.50397,o3,0.01,ppm,2020,6,2,13
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,6,2,21
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,6,2,23
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,6,3,0
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,6,3,1
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,6,3,2
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,6,3,3
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,6,3,4
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,6,3,5
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,6,3,6
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,6,3,7
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,6,3,8
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,6,3,9
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,6,3,12
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,6,3,13
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,6,3,14
Albemarle HS,38.07657,-78.50397,o3,0.054,ppm,2020,6,3,15
Albemarle HS,38.07657,-78.50397,o3,0.057,ppm,2020,6,3,17
Albemarle HS,38.07657,-78.50397,o3,0.054,ppm,2020,6,3,18
Albemarle HS,38.07657,-78.50397,o3,0.057,ppm,2020,6,3,19
Albemarle HS,38.07657,-78.50397,o3,0.056,ppm,2020,6,3,20
Albemarle HS,38.07657,-78.50397,o3,0.056,ppm,2020,6,3,21
Albemarle HS,38.07657,-78.50397,o3,0.053,ppm,2020,6,3,22
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,6,3,23
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,6,4,0
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,6,4,1
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,6,4,2
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,6,4,3
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,6,4,4
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,6,4,5
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,6,4,13
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,6,4,14
Albemarle HS,38.07657,-78.50397,o3,0.055,ppm,2020,6,4,15
Albemarle HS,38.07657,-78.50397,o3,0.056,ppm,2020,6,4,16
Albemarle HS,38.07657,-78.50397,o3,0.053,ppm,2020,6,4,17
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,6,4,18
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,6,4,19
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,6,4,20
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,6,4,21
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,6,4,22
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,6,4,23
Albemarle HS,38.07657,-78.50397,o3,0.015,ppm,2020,6,5,0
Albemarle HS,38.07657,-78.50397,o3,0.011,ppm,2020,6,5,1
Albemarle HS,38.07657,-78.50397,o3,0.006,ppm,2020,6,5,2
Albemarle HS,38.07657,-78.50397,o3,0.002,ppm,2020,6,5,3
Albemarle HS,38.07657,-78.50397,o3,0.012,ppm,2020,6,5,4
Albemarle HS,38.07657,-78.50397,o3,0.016,ppm,2020,6,5,5
Albemarle HS,38.07657,-78.50397,o3,0.016,ppm,2020,6,5,6
Albemarle HS,38.07657,-78.50397,o3,0.012,ppm,2020,6,5,7
Albemarle HS,38.07657,-78.50397,o3,0.007,ppm,2020,6,5,8
Albemarle HS,38.07657,-78.50397,o3,0.003,ppm,2020,6,5,10
Albemarle HS,38.07657,-78.50397,o3,0.007,ppm,2020,6,5,11
Albemarle HS,38.07657,-78.50397,o3,0.016,ppm,2020,6,5,12
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,6,5,13
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,6,5,14
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,6,5,15
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,6,5,16
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,6,5,17
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,6,5,18
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,6,5,19
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,6,5,20
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,6,5,21
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,6,5,22
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,6,5,23
Albemarle HS,38.07657,-78.50397,o3,0.023,ppm,2020,6,6,0
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,6,7,16
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,6,7,17
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,6,7,18
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,6,7,19
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,6,7,20
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,6,7,21
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,6,7,22
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,6,7,23
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,6,8,0
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,6,8,1
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,6,8,2
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,6,8,3
Albemarle HS,38.07657,-78.50397,o3,0.015,ppm,2020,6,8,4
Albemarle HS,38.07657,-78.50397,o3,0.012,ppm,2020,6,8,5
Albemarle HS,38.07657,-78.50397,o3,0.007,ppm,2020,6,8,7
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,6,8,8
Albemarle HS,38.07657,-78.50397,o3,0.005,ppm,2020,6,8,10
Albemarle HS,38.07657,-78.50397,o3,0.012,ppm,2020,6,8,11
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,6,8,12
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,6,8,13
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,6,8,14
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,6,8,15
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,6,8,16
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,6,8,17
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,6,8,18
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,6,8,19
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,6,8,20
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,6,8,21
