location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.053,ppm,2020,5,4,19
Albemarle HS,38.07657,-78.50397,o3,0.053,ppm,2020,5,4,20
Albemarle HS,38.07657,-78.50397,o3,0.053,ppm,2020,5,4,21
Albemarle HS,38.07657,-78.50397,o3,0.052,ppm,2020,5,4,22
Albemarle HS,38.07657,-78.50397,o3,0.05,ppm,2020,5,4,23
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,5,5,0
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,5,2
Albemarle HS,38.07657,-78.50397,o3,0.038,ppm,2020,5,5,3
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,5,4
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,5,5
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,5,6
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,5,7
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,5,8
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,5,5,9
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,5,5,11
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,5,5,12
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,5,13
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,5,5,14
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,5,16
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,5,5,17
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,5,18
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,5,19
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,5,20
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,5,21
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,5,22
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,5,5,23
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,5,6,0
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,5,6,1
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,5,6,2
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,5,6,3
