location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,3,1,5
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,3,1,6
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,3,1,7
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,3,1,8
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,3,1,10
Albemarle HS,38.07657,-78.50397,o3,0.02,ppm,2020,3,1,11
Albemarle HS,38.07657,-78.50397,o3,0.024,ppm,2020,3,1,12
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,3,1,13
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,3,1,14
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,3,1,15
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,3,1,16
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,3,1,17
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,3,1,18
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,3,1,19
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,3,1,20
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,3,1,21
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,3,1,22
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,3,1,23
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,3,2,0
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,3,2,1
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,3,2,2
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,3,2,3
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,3,2,4
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,3,2,5
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,3,2,6
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,3,2,7
Albemarle HS,38.07657,-78.50397,o3,0.019,ppm,2020,3,2,8
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,3,2,9
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,3,2,10
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,3,2,11
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,3,2,12
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,3,2,13
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,3,2,14
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,3,2,15
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,3,2,16
Albemarle HS,38.07657,-78.50397,o3,0.048,ppm,2020,3,2,17
Albemarle HS,38.07657,-78.50397,o3,0.052,ppm,2020,3,2,18
Albemarle HS,38.07657,-78.50397,o3,0.052,ppm,2020,3,2,19
Albemarle HS,38.07657,-78.50397,o3,0.053,ppm,2020,3,2,20
Albemarle HS,38.07657,-78.50397,o3,0.053,ppm,2020,3,2,21
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,3,2,22
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,3,2,23
Albemarle HS,38.07657,-78.50397,o3,0.051,ppm,2020,3,3,0
Albemarle HS,38.07657,-78.50397,o3,0.049,ppm,2020,3,3,1
Albemarle HS,38.07657,-78.50397,o3,0.047,ppm,2020,3,3,2
Albemarle HS,38.07657,-78.50397,o3,0.046,ppm,2020,3,3,3
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,3,3,4
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,3,3,5
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,3,3,6
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,3,3,7
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,3,3,8
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,3,3,9
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,3,3,10
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,3,3,11
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,3,3,12
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,3,3,13
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,3,3,14
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,3,3,15
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,3,3,16
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,3,3,17
